Step,episode_reward
1000,-402.44536327285726
2000,-484.51979769275744
3000,-312.3496909082441
4000,-150.45466866037802
5000,378.93897417635867
6000,797.0762230178362
7000,951.5922514861915
8000,1098.3024485626918
